id,creatorsId
183,6291
58587,4300
58587,272
26620,4627
26620,512
26620,452
26620,10363
26620,4306
26620,708
26620,410
1590,887
1590,902
1590,919
1590,903
1590,888
1590,898
1590,897
1590,394
1590,899
1590,896
1590,425
1590,500
16230,2133
16230,13511
16230,5248
16230,4600
16230,4371
16230,367
16230,400
16230,8504
16230,5247
16230,1016
16230,8991
16230,647
16230,878
16230,1405
16246,2133
16246,5248
16246,4371
16246,367
16246,7129
16246,8635
16246,8504
16246,374
16246,127
59754,2133
16239,2133
16239,5248
16239,3635
16239,367
16239,5251
16239,8504
16239,374
3627,370
3627,371
3627,243
1994,887
1994,902
1994,903
1994,930
1994,888
1994,897
1994,394
1994,899
1994,896
1994,483
27238,4430
16232,2133
16232,5248
16232,4371
16232,367
16232,5251
16232,8504
16232,374
16232,509
59555,11092
59555,12456
1886,907
1886,887
1886,902
1886,909
1886,906
1886,910
1886,897
1886,900
1886,905
1886,911
1886,908
1886,444
16244,2133
16244,367
16244,8504
16244,374
16244,509
16244,8635
59525,4300
59525,1914
15808,87
15808,13055
15808,24
59539,12464
59539,4300
16237,2133
16237,5248
16237,3635
16237,367
16237,5251
16237,8504
16237,374
16237,708
59551,11575
59551,4300
376,600
376,344
16248,2133
16248,5248
16248,4371
16248,367
16248,8504
16248,374
16248,509
16248,8635
6181,4748
6181,4736
6181,1909
6181,6694
6181,3603
6181,1032
6181,350
6181,87
6181,24
6181,210
6181,3635
6181,568
1749,694
1749,684
16240,2133
16240,5248
16240,4371
16240,5258
16240,367
16240,7129
16240,8635
16240,8504
16240,374
16240,509
59524,2133
59524,12979
59527,1040
59527,12376
59558,4600
59558,12698
1003,55
1003,56
25582,23
16233,2133
16233,5248
16233,4371
16233,367
16233,5251
16233,8504
16233,374
15878,1364
15878,1363
15878,1411
58586,4300
58586,12783
56802,1827
56802,3798
56802,199
56802,44
56802,8669
56802,15
56802,4844
56802,8363
56802,16
56802,4430
291,600
291,344
1308,694
1308,434
1308,424
1308,692
1308,689
1308,6743
1308,682
1308,326
1308,691
1308,688
16242,2133
16242,5248
16242,4371
16242,5258
16242,367
16242,7129
16242,8635
16242,8504
16242,374
16242,509
43092,4430
75890,4989
75890,4600
60174,495
60174,10329
60174,4430
69768,428
69768,12480
69768,12980
69768,12771
69768,12368
69768,11921
70778,11841
70778,13033
70778,12991
70778,11912
70778,10329
74717,4430
71952,1338
71952,13215
71952,13270
71952,13018
71952,12376
71952,12974
71952,13103
73030,5251
73030,8027
73030,13459
73030,4600
73030,12999
73030,13015
73052,12699
73052,13537
73052,10144
73052,13027
69590,10087
69590,1141
69590,12371
69590,4430
68366,13081
68366,13200
68366,5251
68366,10433
68366,5022
68366,1117
68366,11038
71253,12985
71253,13163
71253,4300
71253,13471
71253,1348
71253,13101
75783,11401
75783,11896
73674,219
73674,5105
73674,9377
73674,569
73674,11
73674,120
73674,4430
70572,5251
70572,322
70572,12716
70572,13046
70572,12838
67925,2133
67925,5251
67925,12803
67925,2879
67925,4991
67925,63
73594,11401
73594,4430
74718,4430
71256,12699
71256,11435
71256,12980
71256,13167
71256,11354
71256,13003
71164,10432
71164,4300
71164,13145
71164,582
71164,12974
71164,13015
71164,13561
72932,10172
72932,13518
72932,13298
72932,13297
72932,13459
72932,9286
72932,8822
74835,13029
74835,10023
74835,13137
74835,12993
74835,12457
74835,593
74835,13540
74835,13042
70288,694
70288,9201
70288,801
70288,411
70288,803
70288,540
70288,208
70288,805
70288,559
70288,804
70288,4430
71447,5251
71447,12817
71447,4600
71447,12991
71447,13572
71447,13136
70107,5251
70107,13518
70107,13576
70107,13531
70107,13046
70107,12714
74778,13311
74778,11543
74778,10172
74778,189
74778,12457
74778,13471
74778,8027
70089,12882
70089,12448
70089,12488
70089,536
70089,7894
70089,4430
70710,232
70710,5251
70710,10454
70710,544
70710,497
70710,427
70710,518
70710,4300
70710,13296
70710,11434
74049,13215
74049,2133
74049,12712
74049,735
74049,13243
74049,12902
74049,1405
74049,12980
74049,13235
74836,11401
74836,808
74836,13624
74836,4300
74836,1914
73420,12712
73420,872
73420,11610
73420,12980
73420,13027
73420,13235
73420,442
70765,12744
70765,12765
70765,12993
70765,11347
70765,13167
73943,12699
73943,5251
73943,12239
73943,10355
73943,11757
73943,8822
69334,13537
69334,12712
69334,13235
69334,4430
70296,12492
70296,12998
70296,10144
70296,12699
70296,694
70296,4430
71823,11901
71823,12472
71823,13623
71823,12457
71356,12989
71356,5127
71356,10172
71356,11765
71356,552
71356,447
71356,942
71356,4300
69144,1107
69144,8901
69144,485
69144,969
69144,273
69144,7375
69144,12392
69144,12399
69144,434
69144,10288
69144,4430
71046,11463
71046,13162
71046,13021
71046,360
71046,2133
71046,374
71046,12980
71046,12462
74834,11543
74834,12422
74834,13109
74834,12174
74834,189
74834,12993
74834,13207
74834,11921
74715,4430
71918,12464
71918,12917
71918,12465
71918,12697
71918,4430
67853,1004
67853,13069
67853,13625
67853,4430
71186,12472
71186,10172
71186,12239
71186,8901
71186,4600
71186,4544
71798,12989
71798,12376
71798,13208
71798,12825
71798,12974
71798,13079
75208,4430
71701,121
71701,13012
71701,12999
71701,613
71701,4430
74777,11543
74777,10172
74777,189
74777,12457
74777,13471
74777,8027
74777,12822
67874,1004
67874,13282
67874,12803
67874,12376
67874,272
67874,12974
67874,234
71710,162
71710,586
71710,4306
71710,2909
71710,4430
70709,5251
70709,8028
70709,4300
70709,4306
70709,13296
70709,13320
70709,11434
74713,4430
71841,13413
71841,12980
71841,13299
71841,13046
71841,12714
73799,12820
73799,5251
73799,600
73799,10581
73799,12768
73799,12769
73799,11921
70130,11579
70130,4306
70130,9484
70130,11354
70130,12371
70130,8822
75834,12313
75834,13608
75834,11742
75834,12698
75834,13605
75834,13606
67298,12712
67298,10172
67298,12457
67298,4991
67298,13260
67298,1156
67951,11401
67951,101
67951,12477
67951,12948
67951,4430
73017,13162
73017,13368
73017,13005
73017,13219
73017,10355
73017,2681
73017,644
73017,12763
73017,13232
73017,12993
73017,4600
73017,9364
73017,12822
71313,13180
71313,13200
71313,10023
71313,10785
71313,9081
71313,426
71313,241
71313,12980
71830,2133
71830,13046
71830,13575
71830,13004
71830,12994
71646,11463
71646,9018
71646,12313
71646,12993
71646,182
71646,10279
74763,2133
74763,13250
74763,2697
74763,12993
74763,1005
74763,12494
74776,11543
74776,10445
74776,10172
74776,189
74776,12457
74776,13471
74776,8027
73671,11401
73671,10581
73671,103
73671,4430
68012,13162
68012,872
68012,2133
68012,5251
68012,12979
68012,182
68012,12983
73960,11401
73960,408
73960,5345
73960,297
73960,10666
73960,1494
73960,1448
73960,949
73960,4430
71466,12448
71466,12771
71466,8822
73866,479
73866,4430
71726,4430
71345,12862
71345,12457
71345,13556
73999,12744
73999,13200
73999,12385
73999,13570
73999,479
73999,12714
72990,4430
74021,13031
74021,4300
74021,13101
74021,12447
74021,13003
71030,12712
71030,12457
71575,12313
71575,4150
71575,12993
71575,13005
74711,4430
69360,4430
